id,userName,text,profileUrl,avatarUrl,date,created_time
48456587138,ade_uus_nursamsu,"Bismillah dapet ,SEMOGA RAPSPOINT MAKIN RAME DAN MAJU ,SEMOGA JOKINYA MAKIN RAME DAN MAKIN SUKSES ,KELUARGA RAPSPOINT MAKIN SEHAT² @tytozee_ @rapscruel @reyhaaanxz_",https://www.instagram.com/ade_uus_nursamsu/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/280293654_489031596292936_1459965472664274301_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=97DeR-E7cyQAb70vPI5&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAh-GMnZai5q728WFRgiBMDJ6AH7VAdhJUd9foksvcNKQ&oe=661B1F0A&_nc_sid=0985b0,2024/04/09 22:40:56,2024-04-09 22:40:56
61605906988,rajendraarsenio27,Semogaaa dapett buat beli akunn 🔥🔥🔥👏👏@mariskakaramoy @panama24krapyak @ca_rumm,https://www.instagram.com/rajendraarsenio27/,https://instagram.flko10-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.flko10-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb6XxitF&edm=ALlQn9MBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDfoodn09v-PzgjVCRjJhmYUFWH0ly0yQhVa3Uaa6M63Q&oe=661B3C0F&_nc_sid=e7f676,2024/04/09 22:42:07,2024-04-09 22:42:07
44824467704,yoan.sa.3,Semoga rapspoint makin rame pembelinya dan makin sukses @revaldodharma @beibypooy  @endro_setiono,https://www.instagram.com/yoan.sa.3/,https://instagram.flko10-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.flko10-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb6XxitF&edm=ALlQn9MBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDfoodn09v-PzgjVCRjJhmYUFWH0ly0yQhVa3Uaa6M63Q&oe=661B3C0F&_nc_sid=e7f676,2024/04/09 22:42:14,2024-04-09 22:42:14
53138920242,wrldlerr,bismillah,https://www.instagram.com/wrldlerr/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/428314618_3255075374799007_2821698867154812294_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=UfKpqKAnS0gAb5XoRxO&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfCPSTyG9Eu3NckLmcihF7Z2AF98I373lhORHhNKsQMOgg&oe=661B3990&_nc_sid=0985b0,2024/04/09 22:42:15,2024-04-09 22:42:15
61650915125,pauldylannnn,sukses selalu bang rapswhite8 @okzikri  @yringgoo @habib_rifki14,https://www.instagram.com/pauldylannnn/,https://instagram.flko10-1.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?_nc_ht=instagram.flko10-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=DU6E6mKi0EgAb6XxitF&edm=ALlQn9MBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AfDfoodn09v-PzgjVCRjJhmYUFWH0ly0yQhVa3Uaa6M63Q&oe=661B3C0F&_nc_sid=e7f676,2024/04/09 22:42:17,2024-04-09 22:42:17
2206214236,syawizsyawlina,Bismillah 🤲🏼🫶🏼,https://www.instagram.com/syawizsyawlina/,https://scontent-xsp2-1.cdninstagram.com/v/t51.2885-19/87392192_246722446356047_4729335364622221312_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-xsp2-1.cdninstagram.com&_nc_cat=111&_nc_ohc=DMFve6UnITgAb6Ho0w6&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBmrIjEa8S5BbXjOpkDIoYjcxkSvhg7f_1KVSs2c4AivA&oe=661B25FC&_nc_sid=0985b0,2024/04/09 22:42:39,2024-04-09 22:42:39
31339885353,zabian_real,"Semoga raspoint Kedepan nya semakin maju dan semakin sukses, admin nya baik baik di panjang kan umur nya dan di berikan kesehatan. Saya lagi butuh duit nya buat beli HP baru udah gag kuat buat main ml HP saya. @imronnjut @layy_veritas @azuna_layy",https://www.instagram.com/zabian_real/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/381545701_786817153449667_369197309464095286_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YZrz_Iev_2YAb7U436A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBhpMFcI2EkhLjWFdsxP5S3vluI9DGsJTYoSa4yisOMwQ&oe=661B5384&_nc_sid=0985b0,2024/04/09 22:42:58,2024-04-09 22:42:58
31339885353,zabian_real,"Semoga raspoint Kedepan nya semakin maju dan semakin sukses, admin nya baik baik di panjang kan umur nya dan di berikan kesehatan. Saya lagi butuh duit nya buat beli HP baru udah gag kuat buat main ml HP saya. @imronnjut @layy_veritas @azuna_layy",https://www.instagram.com/zabian_real/,https://instagram.fsub8-2.fna.fbcdn.net/v/t51.2885-19/381545701_786817153449667_369197309464095286_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub8-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=YZrz_Iev_2YAb7U436A&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfBhpMFcI2EkhLjWFdsxP5S3vluI9DGsJTYoSa4yisOMwQ&oe=661B5384&_nc_sid=0985b0,2024/04/09 22:42:59,2024-04-09 22:42:59
6995320571,luckywhymhndr_,Semoga rezeki Abang makin lancar bang🙌,https://www.instagram.com/luckywhymhndr_/,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-19/387267666_150553514750516_1892564509680604527_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=024mjBznsmgAb4Zp-EK&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAe43xNgh1EbZz72cNXUqbUeWz_3IVOU3P-zuNCZTqNig&oe=661B3D80&_nc_sid=0985b0,2024/04/09 22:43:20,2024-04-09 22:43:20
28875175798,lapender08,Moga jaya min @pasarayamakmursehati @zonker_indonesia @tokoempatlimamakassar,https://www.instagram.com/lapender08/,https://scontent-xsp1-1.cdninstagram.com/v/t51.2885-19/325356874_205494111969332_7664969179622153360_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-xsp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=w5IfZUTZq3MAb5j8WhS&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfAtZgD6YwwbxjdcO1hzvsZ90wYi2yGDBPnsMewWI0FVtQ&oe=661B1EC0&_nc_sid=0985b0,2024/04/09 22:43:32,2024-04-09 22:43:32
